id.cancer	sex	age	country_name	year	cases.number
	Male		Brazil	1995	141985
	Male		Brazil	1996	163685
	Male		Brazil	1997	170966
	Male		Brazil	1998	177387
	Male		Brazil	1999	183491
	Male		Brazil	2000	191762
	Male		Brazil	2001	198756
	Male		Brazil	2002	207679
	Male		Brazil	2003	214923
	Male		Brazil	2004	225266
	Male		Brazil	2005	236051
	Male		Brazil	2006	246760
	Male		Brazil	2007	256237
	Male		Brazil	2008	265720
	Male		Brazil	2009	272363
	Male		Brazil	2010	284352
	Female		Bulgaria	1964	11734
	Female		Bulgaria	1965	11704
	Female		Bulgaria	1966	13094
	Female		Bulgaria	1967	13186
	Female		Bulgaria	1968	13708
	Female		Bulgaria	1969	13519
	Female		Bulgaria	1970	13669
	Female		Bulgaria	1971	13815
	Female		Bulgaria	1972	14233
	Female		Bulgaria	1973	14205
	Female		Bulgaria	1974	14704
	Female		Bulgaria	1975	14762
	Female		Bulgaria	1976	14821
	Female		Bulgaria	1977	14831
	Female		Bulgaria	1978	16073
	Female		Bulgaria	1979	16258
	Female		Bulgaria	1980	15824
	Female		Bulgaria	1981	17100
	Female		Bulgaria	1982	17637
	Female		Bulgaria	1983	17296
	Female		Bulgaria	1984	18786
	Female		Bulgaria	1985	19359
	Female		Bulgaria	1986	19093
	Female		Bulgaria	1987	19034
	Female		Bulgaria	1988	19509
	Female		Bulgaria	1989	19950
	Female		Bulgaria	1990	19522
	Female		Bulgaria	1991	20122
	Female		Bulgaria	1992	19843
	Female		Bulgaria	1993	19961
	Female		Bulgaria	1994	20326
	Female		Bulgaria	1995	20510
	Female		Bulgaria	1996	21212
	Female		Bulgaria	1997	20824
	Female		Bulgaria	1998	19948
	Female		Bulgaria	1999	20806
	Female		Bulgaria	2000	20460
	Female		Bulgaria	2001	20029
	Female		Bulgaria	2002	20591
	Female		Bulgaria	2003	20085
	Female		Bulgaria	2004	20501
	Female		Bulgaria	2005	24101
	Female		Bulgaria	2006	23545
	Female		Bulgaria	2007	24303
	Female		Bulgaria	2008	24343
	Female		Bulgaria	2009	22814
	Female		Bulgaria	2010	22133
	Male		Bulgaria	1964	16111
	Male		Bulgaria	1965	16289
	Male		Bulgaria	1966	17755
	Male		Bulgaria	1967	18098
	Male		Bulgaria	1968	18692
	Male		Bulgaria	1969	18519
	Male		Bulgaria	1970	18223
	Male		Bulgaria	1971	19207
	Male		Bulgaria	1972	19341
	Male		Bulgaria	1973	19563
	Male		Bulgaria	1974	19766
	Male		Bulgaria	1975	19969
	Male		Bulgaria	1976	19955
	Male		Bulgaria	1977	20900
	Male		Bulgaria	1978	20272
	Male		Bulgaria	1979	21369
	Male		Bulgaria	1980	20769
	Male		Bulgaria	1981	22858
	Male		Bulgaria	1982	23474
	Male		Bulgaria	1983	23686
	Male		Bulgaria	1984	24529
	Male		Bulgaria	1985	24911
	Male		Bulgaria	1986	25473
	Male		Bulgaria	1987	26449
	Male		Bulgaria	1988	26268
	Male		Bulgaria	1989	26957
	Male		Bulgaria	1990	26313
	Male		Bulgaria	1991	26688
	Male		Bulgaria	1992	26630
	Male		Bulgaria	1993	26940
	Male		Bulgaria	1994	28245
	Male		Bulgaria	1995	27564
	Male		Bulgaria	1996	27836
	Male		Bulgaria	1997	27342
	Male		Bulgaria	1998	27424
	Male		Bulgaria	1999	26887
	Male		Bulgaria	2000	25740
	Male		Bulgaria	2001	26656
	Male		Bulgaria	2002	26962
	Male		Bulgaria	2003	27113
	Male		Bulgaria	2004	27926
	Male		Bulgaria	2005	31200
	Male		Bulgaria	2006	31091
	Male		Bulgaria	2007	31450
	Male		Bulgaria	2008	31602
	Male		Bulgaria	2009	30171
	Male		Bulgaria	2010	29496
	Female		Canada	1950	22323
	Female		Canada	1951	22884
	Female		Canada	1952	23223
	Female		Canada	1953	24020
	Female		Canada	1954	24403
	Female		Canada	1955	30027
	Female		Canada	1956	30867
	Female		Canada	1957	31746
	Female		Canada	1958	32889
	Female		Canada	1959	34233
	Female		Canada	1960	34872
	Female		Canada	1961	34149
	Female		Canada	1962	36152
	Female		Canada	1963	37175
	Female		Canada	1964	37836
	Female		Canada	1965	38712
